,Date,Day,Name,Type,Details
386,Dec 17,Tuesday,Pan American Aviation Day,Observance, 
387,Dec 17,Tuesday,Wright Brothers Day,Observance, 
388,Dec 18,Wednesday,International Migrants Day,United Nations observance, 
389,Dec 18,Wednesday,Arabic Language Day,United Nations observance, 
390,Dec 20,Friday,International Human Solidarity Day,United Nations observance, 
391,Dec 21,Saturday,December Solstice,Season, 
392,Dec 23,Monday,Chanukah/Hanukkah (first day),Jewish holiday, 
393,Dec 24,Tuesday,Christmas Eve,State holiday,"KS**,KY,MI,NC,ND,OK,SC,TX,VA**,WI,"
394,Dec 24,Tuesday,Christmas Eve,"Observance, Christian", 
395,Dec 24,Tuesday,Washington's Birthday,State holiday,"Georgia, Indiana"
396,Dec 25,Wednesday,Christmas Day,Federal Holiday, 
397,Dec 26,Thursday,Kwanzaa (first day),Observance, 
398,Dec 26,Thursday,Day After Christmas Day,State holiday,"KS,NC,SC,TX,"
399,Dec 30,Monday,Last Day of Chanukah,Jewish holiday, 
400,Dec 31,Tuesday,New Year's Eve,Observance, 
401,Dec 31,Tuesday,New Year's Eve,State holiday,"LA,MI,WI,"
